helmet, What does the object look like?, The object is typically rounded or oval in shape., Shape:0.8,Egg:0.7,Sphere:0.6,Fruit:, Shape:0.38095238095238093,Egg:0.3333333333333333,Sphere:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 4
, lightbulb, Is the object man made?, Yes., Man-made:1.0,Glass:0.8,Object:0.7,, Man-made:0.4,Glass:0.32,Object:0.27999999999999997, information_gain: 9.032071059287535, remaining_turns: 4
, lightbulb, What is the object used for?, The object is used for producing light., Light:0.9,Produce:0.8,Illumination:0.7,Glass, Light:0.37499999999999994,Produce:0.3333333333333333,Illumination:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, lightbulb, How does the object produce light?, The object produces light through electricity., Electricity:0.9,Light:0.8,Produce:0.7,Glass, Electricity:0.37499999999999994,Light:0.3333333333333333,Produce:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 2
, lightbulb, What is the object's primary function?, To produce light., Light:0.9,Produce:0.8,Function:0.7,Glass, Light:0.37499999999999994,Produce:0.3333333333333333,Function:0.29166666666666663, information_gain: 0.2851014258582893, remaining_turns: 1
, dumbbell, What is the general shape of the object?, The object is roughly cylindrical in the middle with rounded ends., Cylindrical:0.8,Rounded:0.7,Shape:0.6,, Cylindrical:0.38095238095238093,Rounded:0.3333333333333333,Shape:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 7
, dumbbell, What is the size of the object?, The size of the object is typically between 6 and 24 inches in length and 1 to 12 inches in diameter., Length:0.8,Diameter:0.7,Size:0.6,Cyl, Length:0.38095238095238093,Diameter:0.3333333333333333,Size:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 6
, dumbbell, What is the object used for?, The object is used for exercise., Exercise:0.9,Fitness:0.8,Strength:0.7,Cyl, Exercise:0.37499999999999994,Fitness:0.3333333333333333,Strength:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, dumbbell, What material is the object made of?, Metal., Metal:0.9,Material:0.8,Exercise:0.7,Cyl, Metal:0.37499999999999994,Material:0.3333333333333333,Exercise:0.29166666666666663, information_gain: 6.558043004265685, remaining_turns: 4
, dumbbell, I'm going to take a guess that the object is a barbell.?, No., Barbell:-1.0,Metal:0.8,Exercise:0.7,C, Not Barbell:0.4,Metal:0.32,Exercise:0.27999999999999997, information_gain: 11.978574019682002, remaining_turns: 3
, dumbbell, How does the object move when it is being used for exercise?, The object moves up and down when it is being used for exercise., Up and down:0.9,Exercise:0.8,Movement:0.7,, Up and down:0.37499999999999994,Exercise:0.3333333333333333,Movement:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, dumbbell, What part of the body does the object come into contact with when it is being used for exercise?, Hands., Hands:0.9,Exercise:0.8,Movement:0.7,Metal, Hands:0.37499999999999994,Exercise:0.3333333333333333,Movement:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, cabinet, What is the general shape of the object?, The object is rectangular in shape., Rectangular:0.9,Shape:0.8,Form:0.7,, Rectangular:0.37499999999999994,Shape:0.3333333333333333,Form:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 7
, cabinet, What is the size of the object?, The size of the object varies., Size:0.8,Varies:0.7,Shape:0.6,Rect, Size:0.38095238095238093,Varies:0.3333333333333333,Shape:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 6
, cabinet, What is the material the object is made of?, Wood., Wood:0.9,Material:0.8,Rectangular:0.7,, Wood:0.37499999999999994,Material:0.3333333333333333,Rectangular:0.29166666666666663, information_gain: 5.990024635295032, remaining_turns: 5
, cabinet, What is the object used for?, The object is used for storing things., Storage:0.9,Hold:0.8,Contain:0.7,Rectangular, Storage:0.37499999999999994,Hold:0.3333333333333333,Contain:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, cabinet, Is the object man made?, Yes., Man-made:1.0,Storage:0.8,Object:0.7,, Man-made:0.4,Storage:0.32,Object:0.27999999999999997, information_gain: 6.855148567954364, remaining_turns: 3
, cabinet, How is the object typically stored?, Typically on the floor., Floor:0.9,Storage:0.8,Rectangular:0.7,Wood, Floor:0.37499999999999994,Storage:0.3333333333333333,Rectangular:0.29166666666666663, information_gain: 8.093420852876246, remaining_turns: 2
, cabinet, What is typically stored in the object?, Dishes., Dishes:0.9,Storage:0.8,Rectangular:0.7,, Dishes:0.37499999999999994,Storage:0.3333333333333333,Rectangular:0.29166666666666663, information_gain: 6.512919535913656, remaining_turns: 1
, map, What is the general shape of the object?, The object is generally flat., Flat:0.9,Shape:0.8,Surface:0.7,, Flat:0.37499999999999994,Shape:0.3333333333333333,Surface:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 5
, map, What is the size of the object?, The size of the object is variable., Size:0.8,Variable:0.7,Shape:0.6,Flat, Size:0.38095238095238093,Variable:0.3333333333333333,Shape:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 4
, map, What material is the object made of?, Paper., Paper:0.9,Material:0.8,Flat:0.7,Surface, Paper:0.37499999999999994,Material:0.3333333333333333,Flat:0.29166666666666663, information_gain: 5.990024635295032, remaining_turns: 3
, map, Is the paper used for writing?, Yes., Writing:0.9,Paper:0.8,Flat:0.7,Surface, Writing:0.37499999999999994,Paper:0.3333333333333333,Flat:0.29166666666666663, information_gain: 7.503797324361704, remaining_turns: 2
, map, What is written on the paper?, The location of various places., What is written on the paper?, The location of various places., What is written on the paper?, The location of various places., What is written on the paper?, The location of various places., Location:0.8, Map:0.7, Directions:0.6, Travel:, Location:0.38095238095238093,Map:0.3333333333333333,Directions:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 1
, map, My guess is a map.?, Correct., Map:1.0, Location:0.8, Directions:0.6, Travel:, Map:0.4166666666666667,Location:0.33333333333333337,Directions:0.25, information_gain: 7.0485725984536165, remaining_turns: 0
, pencil, What is the general shape of the object?, The object is long and thin., Ruler:0.8, Pencil:0.7, Stick:0.6, Line, Ruler:0.38095238095238093,Pencil:0.3333333333333333,Stick:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 7
, pencil, What is the object's texture?, The object's texture is smooth., Ruler:0.7, Pencil:0.6, Glass:0.5, Plastic, Ruler:0.3888888888888889,Pencil:0.33333333333333337,Glass:0.2777777777777778, information_gain: 0.0, remaining_turns: 6
, pencil, What is the object's color?, The object's color is yellow., Pencil:0.8, Banana:0.7, Highlighter:0.6, Marker, Pencil:0.38095238095238093,Banana:0.3333333333333333,Highlighter:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 5
, pencil, What is the object's size?, The object is 15-20 cm in length and about 1 cm in diameter., Pencil:0.9, Ruler:0.7, Marker:0.6, Stick, Pencil:0.40909090909090906,Ruler:0.3181818181818181,Marker:0.2727272727272727, information_gain: 0.00045299560582257557, remaining_turns: 4
, pencil, What is the object used for?, Writing or drawing., Pencil:0.9, Marker:0.8, Pen:0.7, Drawing, Pencil:0.37499999999999994,Marker:0.3333333333333333,Pen:0.29166666666666663, information_gain: 0.011284062752056775, remaining_turns: 3
, pencil, Is the object a pen?, No., Pencil:0.8, Marker:0.7, Ruler:-0.6, Pen, Pencil:0.38095238095238093,Marker:0.3333333333333333,Not Ruler:0.2857142857142857, information_gain: 0.012582862990444782, remaining_turns: 2
, pencil, What material is the object made of?, The object is made of wood and graphite., Pencil:0.9, Graphite:0.8, Wood:0.7, C, Pencil:0.37499999999999994,Graphite:0.3333333333333333,Wood:0.29166666666666663, information_gain: 0.012652465081833764, remaining_turns: 1
, supertanker, What is the general shape of the object?, The object is shaped like a large rectangle with a rounded front and back., Book:0.8, Tablet:0.7, Phone:0.6, Laptop, Book:0.38095238095238093,Tablet:0.3333333333333333,Phone:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 6
, supertanker, What is the object's purpose?, The object's purpose is to transport oil., Tanker:0.9, Oil:0.8, Truck:0.7, Ship, Tanker:0.37499999999999994,Oil:0.3333333333333333,Truck:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, supertanker, What is the object made of?, The object is made of steel., Tanker:0.9, Steel:0.8, Ship:0.7, Truck, Tanker:0.37499999999999994,Steel:0.3333333333333333,Ship:0.29166666666666663, information_gain: 0.01096576511824271, remaining_turns: 4
, supertanker, How large is the object?, The object is very large., How large is the object?, The object is very large., Size:0.9,Scale:0.8,Magnitude:0.7,Dimension:, Size:0.37499999999999994,Scale:0.3333333333333333,Magnitude:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, supertanker, Is the object a vehicle?, Yes., Vehicle:0.9,Transportation:0.8,Automobile:0.7,Mode, Vehicle:0.37499999999999994,Transportation:0.3333333333333333,Automobile:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, supertanker, What type of vehicle is the object?, The object is a type of ship., Ship:0.9,Watercraft:0.8,Boat:0.7,V, Ship:0.37499999999999994,Watercraft:0.3333333333333333,Boat:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, casket, What is the general shape of the object?, The general shape of the object is rectangular., Rectangle:0.9,Square:0.8,Shape:0.7,Form:, Rectangle:0.37499999999999994,Square:0.3333333333333333,Shape:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 6
, casket, What is the object's size compared to a human?, The object is smaller than a human., Small:-0.9,Tiny:-0.8,Miniature:-0.7,Dim, Not Small:0.37499999999999994,Not Tiny:0.3333333333333333,Not Miniature:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, casket, What is the object's primary function?, The object's primary function is to hold a body., Coffin:0.9,Burial:0.8,Casket:0.7, Coffin:0.37499999999999994,Burial:0.3333333333333333,Casket:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, casket, What material is the object made of?, The object is made of wood., Wood:0.9,Timber:0.8,Lumber:0.7,Pl, Wood:0.37499999999999994,Timber:0.3333333333333333,Lumber:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, casket, Is the object commonly found in a bedroom?, No., Bedroom:-0.9,Living Room:-0.8,Kitchen:-0.7,D, Not Bedroom:0.37499999999999994,Not Living Room:0.3333333333333333,Not Kitchen:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, casket, What is the object used for in a specific situation or context?, The object is used for holding a deceased person during a funeral or burial., Funeral:0.9,Burial:0.8,Mourning:0.7, Funeral:0.37499999999999994,Burial:0.3333333333333333,Mourning:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, wool, What is the general size of the object?, The object is small enough to be held in one hand., What is the general size of the object?, The object is small enough to be held in one hand., Miniature:0.9, Compact:0.8, Portable:0.7, Tiny, Miniature:0.37499999999999994,Compact:0.3333333333333333,Portable:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 6
, wool, What is the object's purpose or function?, The object's purpose or function is to provide warmth., Heating:0.9, Thermal:0.8, Insulation:0.7, Warming:, Heating:0.37499999999999994,Thermal:0.3333333333333333,Insulation:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, wool, What is the object made of?, The object is made of wool., Wool:0.9, Textile:0.8, Fiber:0.7, Natural:, Wool:0.37499999999999994,Textile:0.3333333333333333,Fiber:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, wool, Is the object a type of clothing?, Yes., Clothing:0.9, Apparel:0.8, Garment:0.7, Textile, Clothing:0.37499999999999994,Apparel:0.3333333333333333,Garment:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, wool, What type of clothing is the object?, It is not a type of clothing., Non-clothing:0.9, Accessory:-0.8, Decoration:-0.7,, Non-clothing:0.37499999999999994,Not Accessory:0.3333333333333333,Not Decoration:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, wool, What is the object's shape?, The object's shape is irregular., Asymmetrical:0.9, Organic:0.8, Unstructured:0.7,, Asymmetrical:0.37499999999999994,Organic:0.3333333333333333,Unstructured:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 1
, deck, What is the size of the object?, The size of the object is 3., Numeric:0.9, Measurement:0.8, Quantitative:0.7,, Numeric:0.37499999999999994,Measurement:0.3333333333333333,Quantitative:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 6
, deck, What does the number 3 refer to?, The number of decks in a set of cards is not always the same., Cards:-0.9, Deck:-0.8, Game:-0.7, Playing:, Not Cards:0.37499999999999994,Not Deck:0.3333333333333333,Not Game:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, deck, What is the object used for?, The object is used for playing games., Game:0.9, Entertainment:0.8, Recreation:0.7, Leisure:, Game:0.37499999999999994,Entertainment:0.3333333333333333,Recreation:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, deck, What type of games are played with the object?, Card games., Card game:0.9, Poker:0.8, Blackjack:0.7, Sol, Card game:0.37499999999999994,Poker:0.3333333333333333,Blackjack:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, deck, How many cards are in the object?, 52., Fifty-two:0.9, Deck:0.8, Standard:0.7,, Fifty-two:0.37499999999999994,Deck:0.3333333333333333,Standard:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, deck, What is the material the object is made of?, The object is made of cardboard and paper., What is the material the object is made of?, The object is made of cardboard and paper., Cardboard:0.8,Paper:0.7,Material:0.6,Box, Cardboard:0.38095238095238093,Paper:0.3333333333333333,Material:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 1
, deck, I'm going to take a guess that the object is a deck of cards.?, Correct., Deck of cards:1.0,Card game:0.8,Playing card:0., Deck of cards:0.5555555555555556,Card game:0.4444444444444445,Playing card:0.0, information_gain: 10.295852254967317, remaining_turns: 0
, tux, What is the general size of the object you are thinking of?, The object I am thinking of is something that can be held in your hands., Small:0.7,Handheld:0.8,Portable:0.6,Compact, Small:0.3333333333333333,Handheld:0.38095238095238093,Portable:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 7
, tux, What is the shape of the object?, The object is shaped like a human., Human:1.0,Figure:0.8,Statue:0.7,Scul, Human:0.4,Figure:0.32,Statue:0.27999999999999997, information_gain: 7.296307873108614, remaining_turns: 6
, tux, What is the object made of?, The object is made of fabric., Fabric:0.9,Cloth:0.8,Textile:0.7,Material, Fabric:0.37499999999999994,Cloth:0.3333333333333333,Textile:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, tux, Is the object a doll?, No., Doll:-1.0,Toy:-0.7,Figure:-0.6,Plush, Not Doll:0.4347826086956522,Not Toy:0.30434782608695654,Not Figure:0.2608695652173913, information_gain: 7.759626652339472, remaining_turns: 4
, tux, What is the purpose of the object?, The object is worn for formal occasions., Formal wear:0.9,Clothing:0.8,Dress:0.7,Occ, Formal wear:0.37499999999999994,Clothing:0.3333333333333333,Dress:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, tux, Is the object a suit?, Yes., Suit:1.0,Formal wear:0.9,Clothing:0.8,J, Suit:0.37037037037037035,Formal wear:0.3333333333333333,Clothing:0.2962962962962963, information_gain: 6.443785050660361, remaining_turns: 2
, tux, What is the color of the suit?, Black., Black:0.9,Suit:0.8,Color:0.7,Dark, Black:0.37499999999999994,Suit:0.3333333333333333,Color:0.29166666666666663, information_gain: 8.796066823982072, remaining_turns: 1
, gramophone, What is the general shape of the object?, The object is generally round., Round:0.9,Circle:0.8,Sphere:0.7,Circular, Round:0.37499999999999994,Circle:0.3333333333333333,Sphere:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 8
, gramophone, What is the object's size?, The object's size is usually around 12-18 inches in diameter and 6-8 inches in height., Medium:0.7,Diameter:0.6,Size:0.5,Round, Medium:0.3888888888888889,Diameter:0.33333333333333337,Size:0.2777777777777778, information_gain: 7.143732595012519, remaining_turns: 7
, gramophone, What is the object's purpose?, The object's purpose is to play recorded music., What is the object's purpose?, The object's purpose is to play recorded music., Music:0.9,Audio:0.8,Entertainment:0.7,Sound:, Music:0.37499999999999994,Audio:0.3333333333333333,Entertainment:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, gramophone, What material is the object made of?, The object is made of wood and metal., Wood:0.8,Metal:0.7,Construction:0.1,Material:, Wood:0.5,Metal:0.43749999999999994,Construction:0.0625, information_gain: 12.34290439782423, remaining_turns: 5
, gramophone, Is the object a type of speaker?, Yes., Speaker:0.9,Audio:0.8,Sound:0.7,Music:, Speaker:0.37499999999999994,Audio:0.3333333333333333,Sound:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, gramophone, My guess is that the object is a guitar amplifier. ?, Loud., Amplifier:0.9,Guitar:0.7,Sound:0.6,Music, Amplifier:0.40909090909090906,Guitar:0.3181818181818181,Sound:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 3
, cart, What does the object look like?, It has wheels and a frame to hold things., Wheels:0.8,Frame:0.7,Transportation:0.1,Structure, Wheels:0.5,Frame:0.43749999999999994,Transportation:0.0625, information_gain: 26.94009780661473, remaining_turns: 4
, cart, What is the typical use of the object?, The typical use of the object is to carry things., Carry:0.9,Transportation:0.8,Cargo:0.7,Wheels, Carry:0.37499999999999994,Transportation:0.3333333333333333,Cargo:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, cart, What is the size of the object?, The object is large enough to hold several items at once., Large:0.8,Capacity:0.7,Cargo:0.6,Transportation, Large:0.38095238095238093,Capacity:0.3333333333333333,Cargo:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 2
, cart, What material is the object made of?, The object is made of metal., Metal:0.9,Wheels:0.6,Frame:0.5,Transportation, Metal:0.45,Wheels:0.3,Frame:0.25, information_gain: 9.191985061560128, remaining_turns: 1
, cart, I'm going to take a guess that the object is a shopping cart.?, Correct., Shopping cart:1.0,Transportation:0.9,Wheels:0.8,, Shopping cart:0.37037037037037035,Transportation:0.3333333333333333,Wheels:0.2962962962962963, information_gain: 6.474740253653375, remaining_turns: 0
, spool, What is the general size of the object?, It is small enough to be held in one hand., Small:0.8,Handheld:0.7,Compact:0.6,Size, Small:0.38095238095238093,Handheld:0.3333333333333333,Compact:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 4
, spool, What is the object's primary function?, The object's primary function is to hold something., Hold:0.9,Contain:0.8,Storage:0.7,Small, Hold:0.37499999999999994,Contain:0.3333333333333333,Storage:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 3
, spool, What is the object typically used to hold?, Thread or wire., What is the object typically used to hold?, Thread or wire., Spool:0.8, Bobbin:0.7, Reel:0.7,, Spool:0.36363636363636365,Bobbin:0.3181818181818181,Reel:0.3181818181818181, information_gain: 6.788357126162845, remaining_turns: 2
, spool, What material is the object made of?, Plastic., Plastic:0.9, Polymer:0.8, PVC:0.6, Polypropylene, Plastic:0.3913043478260869,Polymer:0.34782608695652173,PVC:0.26086956521739124, information_gain: 7.177094666130065, remaining_turns: 1
, spool, Is the object a spool?, Correct., Spool:1.0, Bobbin:0.7, Reel:0.7,, Spool:0.4166666666666667,Bobbin:0.2916666666666667,Reel:0.2916666666666667, information_gain: 0.21278076427866321, remaining_turns: 0
, whetstone, What is the general shape of the object?, The general shape of the object is rectangular., Rectangle:0.8, Square:0.7, Box:0.7, Cuboid, Rectangle:0.36363636363636365,Square:0.3181818181818181,Box:0.3181818181818181, information_gain: 27.631021115928547, remaining_turns: 4
, whetstone, What is the object's size?, The object's size is roughly 6-10 inches long., Inch:0.9, Foot:0.6, Centimeter:0.5, Length, Inch:0.45,Foot:0.3,Centimeter:0.25, information_gain: 7.955768194512241, remaining_turns: 3
, whetstone, What is the object's primary function?, The object's primary function is to sharpen or hone the cutting edge of a blade or other tool., Sharpening:0.9, Honing:0.8, Blade:0.7, Sharpening:0.37499999999999994,Honing:0.3333333333333333,Blade:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, whetstone, What material is the object made of?, Stone., Stone:0.9, Ceramic:0.7, Abrasive:0.6,, Stone:0.40909090909090906,Ceramic:0.3181818181818181,Abrasive:0.2727272727272727, information_gain: 7.419469092716977, remaining_turns: 1
, whetstone, My guess is that the object is a whetstone.?, Correct., Whetstone:1.0, Sharpening_stone:0.9, Stone:, Whetstone:0.5263157894736842,Sharpening_stone:0.4736842105263158, information_gain: 12.77648262797812, remaining_turns: 0
, doorpost, What is the general shape of the object?, The object is generally a vertical., Vertical:0.9, Upright:0.8, Perpendicular:0.7,, Vertical:0.37499999999999994,Upright:0.3333333333333333,Perpendicular:0.29166666666666663, information_gain: 27.631021115928547, remaining_turns: 11
, doorpost, What is the typical size of the object?, The typical size of the object varies but is often around 4 inches by 4 inches by 6 feet., Foot:0.9, Inch:0.8, Meter:0.7, Size, Foot:0.37499999999999994,Inch:0.3333333333333333,Meter:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 10
, doorpost, What is the object typically used for?, The object is typically used for structural support., What is the object typically used for?, The object is typically used for structural support., Support:0.9, Construction:0.8, Building:0.7, Framework:, Support:0.37499999999999994,Construction:0.3333333333333333,Building:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 9
, doorpost, What is the material the object is made of?, The object is made of wood., Wood:0.9, Timber:0.8, Lumber:0.7, Cellulose:, Wood:0.37499999999999994,Timber:0.3333333333333333,Lumber:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 8
, doorpost, I'm going to guess that the object is a stud.?, No., Stud:-0.9, Beam:-0.8, Joist:-0.7, R, Not Stud:0.37499999999999994,Not Beam:0.3333333333333333,Not Joist:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 7
, doorpost, What is unique about the object compared to other objects that provide structural support?, It is typically vertical and is part of an entrance or doorway., Post:0.9, Doorframe:0.8, Jamb:0.7, Entrance, Post:0.37499999999999994,Doorframe:0.3333333333333333,Jamb:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 6
, doorpost, I'm going to guess that the object is a door jamb.?, No., Door jamb:-0.9, Doorframe:-0.8, Post:-0.7,, Not Door jamb:0.37499999999999994,Not Doorframe:0.3333333333333333,Not Post:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 5
, doorpost, How is the object attached to the surrounding structure?, It is attached to the surrounding structure by being part of a frame., Frame:0.9, Attached:0.8, Structure:0.7, Support:, Frame:0.37499999999999994,Attached:0.3333333333333333,Structure:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, doorpost, I'm going to guess that the object is a post.?, Yes., Post:0.9, Support:0.8, Vertical:0.7, Frame:, Post:0.37499999999999994,Support:0.3333333333333333,Vertical:0.29166666666666663, information_gain: 0.3672442375003454, remaining_turns: 3
, doorpost, I'm going to guess that the object is a fence post.?, No., Fence post:-0.9, Post:-0.8, Support:-0.7, Vertical, Not Fence post:0.37499999999999994,Not Post:0.3333333333333333,Not Support:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 2
, doorpost, What type of structure does the object support?, A door., Door:0.9, Entrance:0.8, Frame:0.7, Support:, Door:0.37499999999999994,Entrance:0.3333333333333333,Frame:0.29166666666666663, information_gain: 6.539497962027734, remaining_turns: 1
, doorpost, I'm going to guess that the object is a door post.?, Correct., Door post:0.9, Door:0.8, Post:0.7, Entrance, Door post:0.37499999999999994,Door:0.3333333333333333,Post:0.29166666666666663, information_gain: 8.828449669295857, remaining_turns: 0
, timber, What is the general size of the object?, The object is usually several feet long., What is the general size of the object?, The object is usually several feet long., Length:0.8,Size:0.7,Scale:0.3,Foot:, Length:0.4444444444444445,Size:0.38888888888888884,Scale:0.16666666666666666, information_gain: 26.940097806614734, remaining_turns: 10
, timber, What is the object's typical shape?, The object's typical shape is long and narrow., Shape:0.8,Length:0.7,Width:0.6,Narrow:, Shape:0.38095238095238093,Length:0.3333333333333333,Width:0.2857142857142857, information_gain: 6.204506536724379, remaining_turns: 9
, timber, What is the object's primary function?, The object's primary function is to be used as a building material., Building material:0.9,Construction:0.8,Function:0.7,Structure, Building material:0.37499999999999994,Construction:0.3333333333333333,Function:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 8
, timber, What is the object made of?, Wood., Wood:0.9,Material:0.8,Lumber:0.7,Timber, Wood:0.37499999999999994,Material:0.3333333333333333,Lumber:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 7
, timber, Is the object a tree branch?, Yes., Tree branch:0.9,Wood:0.8,Branch:0.7,Tree, Tree branch:0.37499999999999994,Wood:0.3333333333333333,Branch:0.29166666666666663, information_gain: 6.506378346509651, remaining_turns: 6
, timber, What is the object's normal thickness?, The object's normal thickness is 2 to 12 inches., Thickness:0.8,Inches:0.7,Size:0.6,Measurement, Thickness:0.38095238095238093,Inches:0.3333333333333333,Size:0.2857142857142857, information_gain: 7.739066437632048, remaining_turns: 5
, timber, I'm going to guess that the object is a 2x4. ?, Brown., Color:-0.8,Wood:-0.7,Material:-0.6,Lumber, Not Color:0.38095238095238093,Not Wood:0.3333333333333333,Not Material:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 4
, mural, What is the general size of the object?, The general size of the object is large., Size:0.8,Large:0.7,Scale:0.6,Dimension, Size:0.38095238095238093,Large:0.3333333333333333,Scale:0.2857142857142857, information_gain: 27.631021115928547, remaining_turns: 11
, mural, What is the shape of the object?, The shape of the object is irregular., Shape:0.8,Irregular:0.7,Form:0.6,Texture, Shape:0.38095238095238093,Irregular:0.3333333333333333,Form:0.2857142857142857, information_gain: 7.033348047705214, remaining_turns: 10
, mural, What is the object used for?, Decoration., Decoration:0.9,Ornament:0.8,Art:0.7,Aesthetic, Decoration:0.37499999999999994,Ornament:0.3333333333333333,Art:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 9
, mural, What material is the object made of?, Paint., What material is the object made of?, Paint., Painting:0.9, Art:0.7, Coating:0.8, Surface:, Painting:0.37499999999999994,Art:0.29166666666666663,Coating:0.3333333333333333, information_gain: 6.949780413313325, remaining_turns: 8
, mural, Is the object a painting?, yes., Painting:0.9, Art:0.8, Canvas:0.6, Brushstroke, Painting:0.3913043478260869,Art:0.34782608695652173,Canvas:0.26086956521739124, information_gain: 0.01182560677103999, remaining_turns: 7
, mural, What is the subject of the painting?, It is a cityscape., Cityscape:0.9, Architecture:0.7, Urban:0.8, Building, Cityscape:0.37499999999999994,Architecture:0.29166666666666663,Urban:0.3333333333333333, information_gain: 6.949780413313325, remaining_turns: 6
, mural, What is the style of the painting?, The style of the painting is modern., Modern art:0.9, Contemporary art:0.8, Abstract:0.6,, Modern art:0.3913043478260869,Contemporary art:0.34782608695652173,Abstract:0.26086956521739124, information_gain: 7.177094666130065, remaining_turns: 5
, mural, My guess is that the object is a large modern cityscape painting. ?, The object is not a painting., Painting:-0.9, Cityscape:-0.8, Modern art:-0.7,, Not Painting:0.37499999999999994,Not Cityscape:0.3333333333333333,Not Modern art:0.29166666666666663, information_gain: 6.949780413313325, remaining_turns: 4
, odometer, What does the object look like?, The object has a circular face with numbers on it., Clock:0.9, Time:0.7, Circular:0.8, Numbers:, Clock:0.37499999999999994,Time:0.29166666666666663,Circular:0.3333333333333333, information_gain: 27.631021115928547, remaining_turns: 6
, odometer, What is the object used for?, The object is used for measuring distance traveled., Odometer:0.9, Measurement:0.7, Distance:0.8, Vehicle, Odometer:0.37499999999999994,Measurement:0.29166666666666663,Distance:0.3333333333333333, information_gain: 6.949780413313325, remaining_turns: 5
, odometer, What material is the object made of?, Plastic., Plastic:0.9, Polymer:0.7, Synthetic:0.8, Material, Plastic:0.37499999999999994,Polymer:0.29166666666666663,Synthetic:0.3333333333333333, information_gain: 6.949780413313325, remaining_turns: 4
, odometer, I am going to guess that the object is a speedometer.?, No., Speedometer:-0.9, Odometer:0.7, Vehicle:-0.8,, Not Speedometer:0.37499999999999994,Odometer:0.29166666666666663,Not Vehicle:0.3333333333333333, information_gain: 8.330758649061005, remaining_turns: 3
