secret,turn_index,question,label
crossbow,6,Is the object you are thinking of made primarily of plastic?,Attribute
crossbow,7,Is the object you are thinking of made of metal?,Attribute
crossbow,8,Is the object you are thinking of a tool?,Category
crossbow,9,Is the object you are thinking of used for cutting?,Function
crossbow,10,Is the object you are thinking of a hammer?,Direct
crossbow,11,Is the object you are thinking of a screwdriver?,Direct
crossbow,12,Is the object you are thinking of a wrench?,Direct
crossbow,13,Is the object you are thinking of a plier?,Direct
crossbow,14,Is the object you are thinking of used for tightening or loosening?,Function
crossbow,15,Is the object you are thinking of used for measuring?,Function
crossbow,16,Is the object you are thinking of used for pounding or shaping?,Function
crossbow,17,Is the object you are thinking of used for a specific task?,Function
crossbow,18,Is the object you are thinking of used in the automotive industry?,Function
crossbow,19,Is the object you are thinking of used in construction?,Function
crossbow,20,Is the object you are thinking of used in a workshop?,Function
crossbow,21,Is the object you are thinking of used for a task related to a hobby?,Function
crossbow,22,Is the object you are thinking of used in a hobby related to crafts?,Function
crossbow,23,Is the object you are thinking of used in a hobby related to sports?,Function
crossbow,24,Is the object you are thinking of a golf club?,Direct
crossbow,25,Is the object you are thinking of a baseball bat?,Direct
crossbow,26,Is the object you are thinking of a ball?,Direct
crossbow,27,Does the object you are thinking of have a distinct or unusual shape?,Attribute
crossbow,28,Is the object you are thinking of used in a water sport?,Function
crossbow,29,Is the object you are thinking of used in cycling?,Function
crossbow,30,Is the object you are thinking of a bicycle component?,Category
crossbow,31,Is the object you are thinking of used in a team sport?,Function
crossbow,32,Is the object you are thinking of used in an individual sport?,Function
crossbow,33,Is the object you are thinking of used in archery?,Function
crossbow,34,Is the object you are thinking of a bow?,Direct
crossbow,35,Is the object you are thinking of a recurve bow?,Direct
crossbow,36,Is the object you are thinking of a compound bow?,Direct
crossbow,37,Is the object you are thinking of a longbow?,Direct
crossbow,38,Is the object you are thinking of a crossbow?,Direct
crowbar,1,Is the object you are thinking of something that can be held in your hand?,Attribute
crowbar,2,Is the object man-made?,Category
crowbar,3,Is the object used for entertainment?,Function
crowbar,4,Is the object electronic?,Category
crowbar,5,Is the object made primarily of plastic?,Attribute
crowbar,6,Is the object used for preparing or eating food?,Function
crowbar,7,Is the object commonly found in most households?,Location
crowbar,8,Is the object used for personal grooming?,Function
crowbar,9,Is the object made of fabric?,Attribute
crowbar,10,Is the object heavier than 1 pound?,Attribute
crowbar,11,Is the object made of metal?,Attribute
crowbar,12,I'm going to take a guess that the object is a hammer.?,Direct
crowbar,13,Is the object used for a specific task?,Function
crowbar,14,Does the object have moving parts?,Attribute
crowbar,15,Is the object used primarily with the hands?,Function
crowbar,16,Is the object used for a task related to fire?,Function
crowbar,17,Is the object used for a task related to water?,Function
crowbar,18,Is the object a tool?,Category
crowbar,19,I'm going to take a guess that the object is a wrench. ?,Direct
crutch,1,Is the object you are thinking of something that can be held in your hand?,Attribute
crutch,2,Is the object man-made?,Category
crutch,3,Does the object have buttons or controls that you can press?,Attribute
crutch,4,Is the object used for entertainment?,Function
crutch,5,Is the object used for a specific task or function?,Function
crutch,6,Is the object related to food or drink in any way?,Category
crutch,7,Is the object commonly found in most households?,Location
crutch,8,Is the object made primarily of plastic?,Attribute
crutch,9,I'm going to take a guess that the object is a toothbrush. ?,Direct
cufflink,1,Is the object you are thinking of something that can be held in your hand?,Attribute
cufflink,2,Is the object man-made?,Category
cufflink,3,Does the object have buttons or controls of some kind?,Attribute
cufflink,4,Is the object used for a specific purpose or function?,Function
cufflink,5,Is the object related to food or drink in any way?,Category
cufflink,6,Is the object used for personal grooming or hygiene?,Function
cufflink,7,Is the object made primarily of plastic?,Attribute
cufflink,8,Is the object made primarily of metal?,Attribute
cufflink,9,Is the object a tool of some kind?,Category
cufflink,10,Is the object used for entertainment?,Function
cufflink,11,Is the object a container or vessel of some kind?,Category
cufflink,12,Is the object commonly found in most households?,Location
cufflink,13,Is the object used for decorative purposes?,Function
cufflink,14,Is the object a picture frame?,Direct
cufflink,15,Is the object a metal figurine or statue?,Category
cufflink,16,Is the object a clock?,Direct
cufflink,17,Is the object a vase?,Direct
cufflink,18,Is the object a metal decorative item that can be hung on a wall?,Category
cufflink,19,Is the object a centerpiece for a dining table?,Function
cufflink,20,Is the object a metal paperweight?,Direct
cufflink,21,Is the object a metal sculpture?,Category
cufflink,22,Is the object a metal object that serves no practical purpose other than to be aesthetically pleasing?,Attribute
cufflink,23,Is the object a metal ornament?,Category
cufflink,24,Is the object a Christmas tree ornament?,Category
cufflink,25,Is the object a metal collectible?,Category
cufflink,26,Is the object a metal coin?,Category
cufflink,27,Is the object a metal figurine of an animal?,Category
cufflink,28,Is the object a metal sports team logo or emblem?,Category
cufflink,29,Is the object a metal replica of a famous landmark or monument?,Category
cufflink,30,Is the object a metal collectible related to a hobby or interest?,Category
cufflink,31,Is the object a metal collectible that is part of a larger series or set?,Category
cufflink,32,Is the object a metal collectible that is highly detailed and intricately designed?,Attribute
cufflink,33,Is the object a metal collectible figurine of a fictional character?,Category
cufflink,34,Is the object a metal collectible that is related to art or music?,Category
cufflink,35,Is the object a metal collectible in the shape of a musical instrument?,Category
cufflink,36,Is the object a metal collectible of a famous musician or composer?,Category
cufflink,37,"Is the object a metal collectible related to a specific type of art, such as painting or sculpture?",Category
cufflink,38,Is the object a metal collectible that is a symbol or representation of a particular art movement or style?,Category
cufflink,39,Is the object a metal collectible that is a replica of a famous work of art?,Category
cufflink,40,Is the object a metal collectible that is a decorative item inspired by art or music?,Category
cufflink,41,Is the object a metal collectible music box?,Category
cufflink,42,Is the object a metal collectible that is a decorative item that produces sound?,Category
cufflink,43,Is the object a metal collectible that is a decorative item that is inspired by a particular artist or style of art?,Category
cufflink,44,Is the object a metal collectible that is a decorative item that is inspired by music in general?,Category
cufflink,45,Is the object a metal collectible that is a decorative item that is inspired by a particular type of music?,Category
cufflink,46,"Is the object a metal collectible that is a decorative item that is inspired by a musical theme, such as treble clefs or notes?",Category
cufflink,47,"Is the object a metal collectible that is a decorative item that is inspired by a art theme, such as paintbrushes or palettes?",Category
cufflink,48,Is the object a metal collectible that is a decorative item that is inspired by a famous painting?,Category
cufflink,49,Is the object a metal collectible that is a decorative item that is inspired by a famous artist?,Category
cufflink,50,"Is the object a metal collectible that is a decorative item that is inspired by a art movement, such as impressionism or cubism?",Category
cup,1,Is the object you are thinking of something that can be held in your hand?,Attribute
cup,2,Is the object man-made?,Category
cup,3,Does the object have buttons or controls?,Attribute
cup,4,Is the object used for a specific purpose or function?,Function
cup,5,Is the object used for a purpose that involves food or drink?,Function
cup,6,Is the object used to consume or hold a liquid?,Function
cup,7,Is the object commonly used by only one person at a time?,Function
cup,8,Is the object a cup?,Direct
curtain,1,What is the general size of the object that you are thinking of?,Attribute
curtain,2,Is the object man-made?,Category
curtain,3,Is the object something that can be held in your hand?,Attribute
curtain,4,Is the object used for a specific purpose or function?,Function
curtain,5,Is the object electronic?,Category
curtain,6,Is the object commonly found in most households?,Location
curtain,7,Is the object related to furniture?,Category
curtain,8,Is the object used for decoration?,Function
curtain,9,Is the object a type of artwork?,Category
curtain,10,Is the object used to display or hold something?,Function
curtain,11,Is the object a type of shelf?,Category
curtain,12,Is the object a type of plant or planter?,Category
curtain,13,Is the object a type of mirror?,Category
curtain,14,Is the object made primarily of fabric?,Attribute
curtain,15,Is the object a type of tapestry or wall hanging?,Category
curtain,16,Is the object a quilt?,Direct
curtain,17,Is the object a type of banner?,Category
curtain,18,Is the object a type of flag?,Category
curtain,19,Is the object something that can be hung on a wall to add color and texture to a room?,Function
curtain,20,Is the object a type of wall hanging made of woven or embroidered fabric?,Category
curtain,21,Is the object a tapestry?,Direct
curtain,22,Is the object a rug?,Direct
curtain,23,Is the object a type of fabric wall decoration that is commonly used to add a decorative touch to a room?,Category
curtain,24,Is the object a throw blanket?,Direct
curtain,25,Is the object a wall quilt?,Direct
curtain,26,Is the object a type of textile wall hanging that is used to add warmth and coziness to a room?,Category
curtain,27,Is the object a quilted wall hanging?,Direct
curtain,28,Is the object a type of decorative fabric panel?,Category
curtain,29,"Is the object a fabric panel that is used to add a decorative touch to a room, and is typically hung on a wall?",Function
curtain,30,Is the object a piece of fabric that is stretched over a frame and hung on a wall?,Function
curtain,31,"Is the object a type of fabric that is used to create a decorative wall hanging, and is typically made of a single piece of fabric?",Category
curtain,32,Is the object a piece of embroidered fabric?,Category
curtain,33,"Is the object a type of decorative wall hanging that is made of a single piece of fabric, and is used to add color and texture to a room?",Category
curtain,34,"Is the object a type of fabric wall hanging that is used to add a decorative touch to a room, and is typically made of a lightweight fabric?",Category
curtain,35,Is the object a scarf?,Direct
curtain,36,"Is the object a type of fabric wall hanging that is used to add a decorative touch to a room, and is typically made of a lightweight fabric such as cotton or silk?",Category
curtain,37,"Is the object a type of decorative fabric panel that is used to add a decorative touch to a room, and is typically made of a lightweight fabric such as cotton or silk?",Category
curtain,38,Is the object a batik wall hanging?,Direct
curtain,39,"Is the object a type of fabric wall hanging that is used to add a decorative touch to a room, and is typically made of a lightweight fabric such as cotton or silk, and has a printed design?",Category
curtain,40,Is the object a type of printed fabric wall hanging?,Category
curtain,41,Is the object a poster?,Direct
curtain,42,Is the object a type of fabric that has a printed design and is used as a wall hanging?,Category
curtain,43,Is the object a printed fabric panel?,Category
curtain,44,Is the object a piece of printed fabric that is used as a wall hanging?,Function
curtain,45,Is the object a printed cotton wall hanging?,Category
curtain,46,Is the object a cotton wall hanging with a printed design?,Attribute
curtain,47,Is the object a printed cotton fabric wall hanging?,Category
curtain,48,Is the object something that you would typically find in a bedroom or living room?,Location
curtain,49,"Is the object something that is used to add a decorative touch to a room, and is typically hung on a wall in a bedroom or living room?",Function
curtain,50,"Is the object something that is used to add color and visual interest to a room, and is typically hung on a wall in a bedroom or living room?",Function
cushion,1,Is the object you are thinking of something that can be held in your hand?,Attribute
cushion,2,Is the object man-made?,Category
cushion,3,Does the object have buttons or controls?,Attribute
cushion,4,Is the object used for entertainment?,Function
cushion,5,Is the object related to food or drink in any way?,Category
cushion,6,Is the object used for personal grooming or hygiene?,Function
cushion,7,Is the object made primarily of plastic?,Attribute
cushion,8,Is the object made of metal?,Attribute
cushion,9,Is the object made of fabric or textile?,Attribute
cushion,10,Is the object a piece of clothing?,Category
cushion,11,Is the object used to carry or hold other objects?,Function
cushion,12,Is the object used for decoration?,Function
cushion,13,Is the object a stuffed animal or plush toy?,Category
cushion,14,Is the object a type of decorative pillow or cushion?,Category
dagger,1,What is the general size of the object you are thinking of?,Attribute
dagger,2,Is the object man made?,Category
dagger,3,Does the object have buttons or controls?,Attribute
dagger,4,Is the object used for a specific task or function?,Function
dagger,5,Is the object used for a task related to food or drink?,Function
dagger,6,Is the object commonly found in most households?,Location
dagger,7,Is the object made primarily of plastic?,Attribute
dagger,8,Does the object have a distinct or unusual shape?,Attribute
dagger,9,I'm going to take a guess that the object is a hammer.?,Direct
dagger,10,Is the object used for personal grooming or hygiene?,Function
dagger,11,Does the object have a hole or cavity in it?,Attribute
dagger,12,Is the object used primarily with the hands?,Function
dagger,13,Is the object used for a recreational or entertainment purpose?,Function
dagger,14,Does the object have a distinct sound or noise associated with it when it is used?,Function
dagger,15,I'm going to take a guess that the object is a bell. ?,Direct
dart,1,Is the object you are thinking of something that can be held in your hand?,Attribute
dart,2,Is the object man-made?,Category
dart,3,Is the object used for entertainment?,Function
dart,4,Is the object electronic?,Category
dart,5,Does the object have moving parts?,Attribute
dart,6,Is the object a puzzle?,Direct
dart,7,Is the object a toy?,Category
dart,8,I'm going to take a guess that the object is a yo-yo.?,Direct
dart,9,Does the object make a sound?,Attribute
dart,10,Is the object a musical instrument?,Category
dart,11,Is the object commonly used by children?,Function
dart,12,"Is the object used by adults for entertainment, for example in a party or a bar?",Function
dart,13,I'm going to take a guess that the object is a deck of cards.?,Direct
dart,14,Does the object have a distinct or unusual smell?,Attribute
dart,15,Is the object made primarily of plastic?,Attribute
dart,16,I'm going to take a guess that the object is a stress ball?,Direct
dart,17,Does the object have a hole or holes in it?,Attribute
dart,18,I'm going to take a guess that the object is a whistle?,Direct
dart,19,Is the object used primarily with the hands?,Function
dart,20,I'm going to take a guess that the object is a pinwheel?,Direct
dart,21,Is the object related to a game?,Category
dart,22,I'm going to take a guess that the object is a dice?,Direct
dart,23,Does the object have a flat surface?,Attribute
dart,24,Is the object round in shape?,Attribute
dart,25,I'm going to take a guess that the object is a coin?,Direct
dart,26,Does the object have numbers or letters on it?,Attribute
dart,27,I'm going to take a guess that the object is a roulette wheel?,Direct
dart,28,Is the object smaller than a basketball?,Attribute
dart,29,I'm going to take a guess that the object is a game piece from a board game?,Category
dart,30,Is the object related to drinking?,Function
dart,31,Is the object used in a competitive game?,Function
dart,32,I'm going to take a guess that the object is a top?,Direct
dart,33,Does the object spin around?,Attribute
dart,34,I'm going to take a guess that the object is a spinning top?,Direct
dart,35,Is the object a type of spinning toy that people compete with to see whose can spin the longest?,Category
dart,36,Does the object have a pointed end?,Attribute
dart,37,I'm going to take a guess that the object is a spinning pointer?,Direct
dart,38,Is the object used in a game of skill?,Function
dart,39,I'm going to take a guess that the object is a dart?,Direct
dashboard,1,Is the object you are thinking of something that can be held in your hand?,Attribute
dashboard,2,Is the object you are thinking of man-made?,Category
dashboard,3,Is the object you are thinking of used for transportation?,Function
dashboard,4,Is the object you are thinking of a car?,Direct
dashboard,5,Is the object you are thinking of a boat?,Direct
dashboard,6,Is the object you are thinking of an airplane?,Direct
dashboard,7,Is the object you are thinking of a bicycle?,Direct
dashboard,8,Is the object you are thinking of a train?,Direct
dashboard,9,Is the object you are thinking of a motorcycle?,Direct
dashboard,10,Is the object you are thinking of a bus?,Direct
dashboard,11,Is the object you are thinking of a truck?,Direct
dashboard,12,Is the object you are thinking of a spacecraft?,Category
dashboard,13,Is the object you are thinking of a helicopter?,Direct
dashboard,14,Is the object you are thinking of a skateboard?,Direct
dashboard,15,Is the object you are thinking of a wagon?,Direct
dashboard,16,Is the object you are thinking of a sled?,Direct
dashboard,17,Is the object you are thinking of a hot air balloon?,Direct
dashboard,18,Is the object you are thinking of a blimp?,Direct
dashboard,19,Is the object you are thinking of a hang glider?,Direct
dashboard,20,Is the object you are thinking of a parachute?,Direct
dashboard,21,Is the object you are thinking of a wheelchair?,Direct
dashboard,22,Is the object you are thinking of a golf cart?,Direct
dashboard,23,Is the object you are thinking of a forklift?,Direct
dashboard,24,Is the object you are thinking of a crane?,Direct
dashboard,25,Is the object you are thinking of a road?,Direct
dashboard,26,Is the object you are thinking of a bridge?,Direct
dashboard,27,Is the object you are thinking of a tunnel?,Direct
dashboard,28,Is the object you are thinking of a highway?,Category
dashboard,29,Is the object you are thinking of a parking lot?,Direct
dashboard,30,Is the object you are thinking of a garage?,Direct
dashboard,31,Is the object you are thinking of a road sign?,Category
dashboard,32,Is the object you are thinking of a traffic light?,Direct
dashboard,33,Is the object you are thinking of a railroad track?,Direct
dashboard,34,Is the object you are thinking of an airport?,Category
dashboard,35,Is the object you are thinking of a harbor?,Direct
dashboard,36,Is the object you are thinking of a dock?,Direct
dashboard,37,Is the object you are thinking of a pier?,Direct
dashboard,38,Is the object you are thinking of a ferry?,Direct
dashboard,39,Does the object you are thinking of have wheels?,Attribute
dashboard,40,Is the object you are thinking of a chairlift?,Direct
dashboard,41,Is the object you are thinking of an elevator?,Direct
dashboard,42,Is the object you are thinking of an escalator?,Direct
dashboard,43,Is the object you are thinking of a moving walkway?,Direct
dashboard,44,Is the object you are thinking of a cable car?,Direct
dashboard,45,Is the object you are thinking of a gondola lift?,Category
dashboard,46,Is the object you are thinking of a funicular?,Direct
dashboard,47,Is the object you are thinking of a monorail?,Direct
dashboard,48,Does the object you are thinking of go on water?,Function
dashboard,49,Does the object you are thinking of go on land?,Location
dashboard,50,Does the object you are thinking of go on air?,Function
deadbolt,1,Is the object you are thinking of something that can be held in your hand?,Attribute
deadbolt,2,Is the object man-made?,Category
deadbolt,3,Does the object have buttons or controls?,Attribute
deadbolt,4,Does the object require batteries?,Attribute
deadbolt,5,Is the object used for entertainment?,Function
deadbolt,6,Is the object used for a specific task?,Function
deadbolt,7,Is the object commonly found in an office?,Location
deadbolt,8,I'm going to take a guess that the object is a stapler.?,Direct
deadbolt,9,Is the object electronic?,Category
deadbolt,10,Is the object used for writing or drawing?,Function
deadbolt,11,Does the object have moving parts?,Attribute
deadbolt,12,Is the object used to manipulate or process paper?,Function
deadbolt,13,Is the object used to bind or attach things together?,Function
deadbolt,14,I'm going to take a guess that the object is a tape dispenser.?,Direct
deadbolt,15,Is the object made mostly of metal?,Attribute
deadbolt,16,I'm going to take a guess that the object is a paperclip.?,Direct
deadbolt,17,Is the object used to attach papers together in a more permanent way than a paperclip?,Function
deadbolt,18,"Is the object used to attach things together in a temporary way, like a clip?",Function
deadbolt,19,I'm going to take a guess that the object is a hole punch.?,Direct
deadbolt,20,Is the object used to attach or bind things together using a small metal piece that is inserted or attached?,Function
deadbolt,21,I'm going to take a guess that the object is a staple remover.?,Direct
deadbolt,22,"Is the object used to attach things together using a small metal piece that is inserted or attached, and is commonly used in an office to attach papers together?",Function
deadbolt,23,I'm going to take a guess that the object is a binder clip.?,Direct
deadbolt,24,"Is the object used to attach or bind things together using a small metal piece that is inserted or attached, such as a pin or a nail?",Function
deadbolt,25,I'm going to take a guess that the object is a push pin.?,Direct
deadbolt,26,"Is the object used to attach or bind things together using a small metal piece that is inserted or attached, such as a rivet?",Function
deadbolt,27,I'm going to take a guess that the object is a paper weight with a metal clip?,Direct
deadbolt,28,"Is the object used to attach or bind things together using a small metal piece that is inserted or attached, and is used for a specific task in an office?",Function
deadbolt,29,I'm going to take a guess that the object is a clipboard with a clip?,Direct
deadbolt,30,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close?",Function
deadbolt,31,I'm going to take a guess that the object is a binder ring?,Direct
deadbolt,32,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is small enough to be held in one hand?",Function
deadbolt,33,I'm going to take a guess that the object is a bulldog clip?,Direct
deadbolt,34,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is used to attach things together in a temporary way?",Function
deadbolt,35,I'm going to take a guess that the object is a metal clamp?,Direct
deadbolt,36,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is used for a specific task that involves attaching or binding things together?",Function
deadbolt,37,I'm going to take a guess that the object is a bag clip?,Direct
deadbolt,38,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is commonly used to attach or bind papers or documents together?",Function
deadbolt,39,I'm going to take a guess that the object is a wire binder?,Direct
deadbolt,40,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is used for a task that involves attaching or binding things together, and is typically used in an office setting?",Function
deadbolt,41,I'm going to take a guess that the object is a desk clamp?,Direct
deadbolt,42,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is used for a task that involves attaching or binding things together, and is small enough to be held in one hand, and is made of metal?",Function
deadbolt,43,I'm going to take a guess that the object is a metal fastener?,Direct
deadbolt,44,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is used for a task that involves attaching or binding things together, and is small enough to be held in one hand, and is used in an office setting?",Function
deadbolt,45,I'm going to take a guess that the object is a small metal tool used for binding or attaching things together?,Direct
deadbolt,46,"Is the object something that can be used to attach or bind things together, and has a spring or other mechanism to open and close, and is used for a task that involves attaching or binding things together, and is small enough to be held in one hand?",Function
deadbolt,47,"I'm going to take a guess that the object is a small device used for attaching or binding things together, and has moving parts?",Direct
deadbolt,48,"Is the object something that can be used to attach or bind things together, and has moving parts, and is used for a specific task?",Function
deadbolt,49,"I'm going to take a guess that the object is a small device used for attaching or binding things together, and has moving parts, and is used for a specific task, and is commonly found in an office?",Direct
deadbolt,50,"Is the object something that can be used to attach or bind things together, and has moving parts, and is used for a specific task, and is small enough to be held in one hand, and is made of metal?",Function
decal,1,Is the object you are thinking of something that can be held in your hand?,Attribute
decal,2,Is the object man-made?,Category
decal,3,Does the object have buttons or controls?,Attribute
decal,4,Is the object used for entertainment?,Function
decal,5,Is the object used for a specific task?,Function
decal,6,Is the object used primarily with food or drink?,Function
decal,7,Is the object made primarily of plastic?,Attribute
decal,8,Is the object a container?,Category
decal,9,I'm going to guess that the object is a toothbrush.?,Direct
decal,10,Does the object have a distinct or unusual shape?,Attribute
decal,11,Is the object used for personal grooming?,Function
decal,12,Is the object commonly found in an office or workspace?,Location
decal,13,I'm going to guess that the object is a stapler.?,Direct
decal,14,Is the object used to organize or hold something in place?,Function
decal,15,I'm going to guess that the object is a paperweight.?,Direct
decal,16,"Is the object attached to something else, like a desk or wall?",Location
decal,17,I'm going to guess that the object is a nameplate.?,Direct
decal,18,Does the object have a clip or clamp?,Attribute
decal,19,Is the object used to hold or manage cords or cables?,Function
decal,20,Is the object used to hold papers or documents?,Function
decal,21,Is the object used to display information?,Function
decal,22,I'm going to guess that the object is a sign.?,Direct
decal,23,Does the object have letters or numbers on it?,Attribute
decal,24,I'm going to guess that the object is a clock.?,Direct
decal,25,Is the object electronic?,Category
decal,26,Does the object have a flat surface?,Attribute
decal,27,I'm going to guess that the object is a calendar.?,Direct
decal,28,Is the object used to identify someone or something?,Function
decal,29,I'm going to guess that the object is a badge.?,Direct
decal,30,Does the object have a picture or image on it?,Attribute
decal,31,I'm going to guess that the object is a name tag.?,Direct
decal,32,Is the object used in a specific industry or profession?,Function
decal,33,Is the object used in the medical field?,Function
decal,34,Is the object used in the field of education?,Function
decal,35,Is the object used to identify a product or a brand?,Function
decal,36,I'm going to guess that the object is a label.?,Direct
deck,1,What is the size of the object you are thinking of?,Attribute
deck,2,Is the object you are thinking of something that can be held in your hand?,Attribute
deck,3,Is the object you are thinking of man-made?,Category
deck,4,Does the object you are thinking of have moving parts?,Attribute
deck,5,What is the primary function of the object you are thinking of?,Function
deck,6,Is the object you are thinking of something that is used for personal grooming?,Function
deck,7,Is the object you are thinking of something that is used to store small items such as keys or coins?,Function
deck,8,I'm going to take a guess that the object you are thinking of is a wallet.?,Direct
deck,9,Does the object you are thinking of have separate compartments to organize the items it holds?,Function
deck,10,Is the object you are thinking of made of fabric?,Attribute
deck,11,Is the object you are thinking of made of plastic?,Attribute
deck,12,I'm going to take a guess that the object you are thinking of is a keychain.?,Direct
deck,13,Does the object you are thinking of have a lid or a way to open and close it?,Attribute
deck,14,"Is the object you are thinking of used to store items such as paper clips, rubber bands, or push pins?",Function
deck,15,I'm going to take a guess that the object you are thinking of is a desk organizer.?,Direct
deck,16,Does the object you are thinking of have a spring loaded mechanism?,Attribute
deck,17,"Is the object you are thinking of used to store small items such as beads, buttons, or safety pins?",Function
deck,18,I'm going to take a guess that the object you are thinking of is a pill box.?,Direct
deck,19,Is the object you are thinking of used by crafters or sewers to store small items?,Function
deck,20,Is the object you are thinking of used by a specific profession or trade to store small items?,Function
deck,21,"Is the object you are thinking of used by an electrician to store small items such as wire nuts, or screws?",Function
deck,22,"Is the object you are thinking of used by a carpenter to store small items such as nails, or screws?",Function
deck,23,"Is the object you are thinking of used by a mechanic to store small items such as nuts, or bolts?",Function
deck,24,"Is the object you are thinking of used by a jeweler to store small items such as beads, or findings?",Function
deck,25,"Is the object you are thinking of used by a medical professional to store small items such as pills, or syringes?",Function
deck,26,"Is the object you are thinking of used by a cosmetologist to store small items such as hair clips, or bobby pins?",Function
deck,27,"Is the object you are thinking of used by a tailor or seamstress to store small items such as buttons, or threads?",Function
deck,28,"Is the object you are thinking of used by an engineer to store small items such as screws, or resistors?",Function
deck,29,"Is the object you are thinking of used by a machinist to store small items such as drill bits, or cutting tools?",Function
deck,30,"Is the object you are thinking of used by a dentist to store small items such as dental picks, or cotton balls?",Function
deck,31,"Is the object you are thinking of used by a veterinarian to store small items such as syringes, or pills?",Function
deck,32,"Is the object you are thinking of used by a pharmacist to store small items such as pills, or capsules?",Function
deck,33,"Is the object you are thinking of used by a laboratory technician to store small items such as test tubes, or pipettes?",Function
deck,34,"Is the object you are thinking of used by a scientist to store small items such as samples, or specimens?",Function
deck,35,"Is the object you are thinking of used by a researcher to store small items such as data, or notes?",Function
deck,36,"Is the object you are thinking of used by an artist to store small items such as paints, or brushes?",Function
deck,37,"Is the object you are thinking of used by a musician to store small items such as guitar picks, or drumsticks?",Function
deck,38,"Is the object you are thinking of used by a chef to store small items such as spices, or seasonings?",Function
deck,39,"Is the object you are thinking of used by a florist to store small items such as floral tape, or wire?",Function
deck,40,"Is the object you are thinking of used by a photographer to store small items such as lenses, or filters?",Function
deck,41,"Is the object you are thinking of used by an IT professional to store small items such as cables, or adapters?",Function
deck,42,"Is the object you are thinking of used by a construction worker to store small items such as nails, or screws?",Function
deck,43,"Is the object you are thinking of used by a plumber to store small items such as fittings, or valves?",Function
deck,44,"Is the object you are thinking of used by a locksmith to store small items such as keys, or locks?",Function
deck,45,"Is the object you are thinking of used by a roofer to store small items such as nails, or shingles?",Function
deck,46,"Is the object you are thinking of used by an HVAC technician to store small items such as screws, or fittings?",Function
deck,47,"Is the object you are thinking of used by an automotive technician to store small items such as screws, or clips?",Function
deck,48,"Is the object you are thinking of used by an aircraft mechanic to store small items such as screws, or rivets?",Function
deck,49,"Is the object you are thinking of used by a boat mechanic to store small items such as screws, or fittings?",Function
deck,50,"Is the object you are thinking of used by a bicycle mechanic to store small items such as screws, or bolts?",Function
denim,1,Is the object you are thinking of something that can be held in your hand?,Attribute
denim,2,Is the object man-made?,Category
denim,3,Does the object have buttons or controls?,Attribute
denim,4,Is the object used for a specific purpose or function?,Function
denim,5,Is the object used for a purpose related to food or drink?,Function
denim,6,Is the object commonly found in most households?,Location
denim,7,Is the object made primarily of plastic?,Attribute
denim,8,Is the object made primarily of fabric?,Attribute
denim,9,I'm going to take a guess that the object is a towel.?,Direct
denim,10,Does the object have a distinct or unusual shape?,Attribute
denim,11,Is the object used for decorative purposes?,Function
denim,12,Is the object used for personal grooming or hygiene?,Function
denim,13,Is the object something that can be worn?,Category
denim,14,I'm going to take a guess that the object is a sock.?,Direct
denim,15,Does the object cover the head or face?,Function
denim,16,Does the object cover the torso?,Function
denim,17,I'm going to take a guess that the object is a shirt.?,Direct
denture,1,Is the object you are thinking of something that can be held in one's hand?,Attribute
denture,2,Is the object man-made?,Category
denture,3,Does the object have buttons or controls of any kind?,Attribute
denture,4,Is the object used for a specific purpose or function?,Function
denture,5,Is the object related to food or drink in any way?,Category
denture,6,Is the object used to prepare or consume food or drink?,Function
denture,7,Is the object commonly found in most households?,Location
denture,8,I'm going to take a guess that the object is a spoon.?,Direct
denture,9,Is the object made primarily of plastic?,Attribute
denture,10,Is the object disposable?,Attribute
denture,11,I'm going to take a guess that the object is a cup.?,Direct
denture,12,Does the object have a distinct or unusual shape?,Attribute
denture,13,I'm going to take a guess that the object is a citrus juicer.?,Direct
denture,14,"Is the object used to consume a specific type of food or drink, such as a utensil for eating a particular type of food?",Function
denture,15,I'm going to take a guess that the object is a fork.?,Direct
denture,16,Is the object typically stored in a kitchen drawer or on a countertop?,Location
denture,17,Is the object often stored in a cupboard or pantry?,Location
denture,18,Is the object used primarily with hot foods or drinks?,Function
denture,19,I'm going to take a guess that the object is a plate.?,Direct
denture,20,Is the object used to eat or drink something that is typically served cold?,Function
denture,21,I'm going to take a guess that the object is an ice cream bowl.?,Direct
denture,22,Does the object have a lid or a cover?,Attribute
denture,23,Is the object used to eat a type of food that is often eaten as a snack?,Category
denture,24,I'm going to take a guess that the object is a bowl.?,Direct
denture,25,Is the object used to eat a type of fruit?,Category
denture,26,"Is the object used to eat a type of snack food that is often packaged, such as chips or popcorn?",Category
denture,27,I'm going to take a guess that the object is a cookie jar.?,Direct
denture,28,Is the object used to eat a type of snack food that is often served at parties or social gatherings?,Category
